21, "Chu Chi backing", "http://goran.tangring.com/backings/ChuChi%20backing.mp3", "", "http://goran.tangring.com/chords/Chu-Chi.xls", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20ChuChi.mp3"
22, "Classical Gas backing", "http://goran.tangring.com/backings/Classical%20Gas%20backing.mp3", "", "", ""
23, "Concerto D'Aranjuez", "http://goran.tangring.com/backings/Aranjuez%20concierto%20backing.mp3", "", "", ""
24, "Cosy Backing Track", "http://goran.tangring.com/backings/Cosy%20Backing%20Track(Goran).mp3", "http://goran.tangring.com/tabs/Cosy_tab.txt", "http://goran.tangring.com/chords/cosy.xls", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Cosy.mp3"
25, "Cricket Bat Boogie backing", "http://goran.tangring.com/backings/Cricket%20Bat%20Boogie%20backing.mp3", "http://goran.tangring.com/tabs/cricketbatboogie.Tab", "", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Cricket%20Bat%20Boogie.mp3"
26, "Crocketts Theme backing", "http://goran.tangring.com/backings/Crocketts%20Theme%20backing.mp3", "http://goran.tangring.com/tabs/Crocketts%20theme%20tab.txt", "", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Crocketts%20Theme.mp3"
27, "Dance On Backing track", "http://goran.tangring.com/backings/Dance%20On%20Backing%20track(Goran).mp3", "http://goran.tangring.com/tabs/danceon.tab", "http://goran.tangring.com/chords/DanceOn.txt", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Dance%20On.mp3"
28, "Dean's Theme backing", "http://goran.tangring.com/backings/Dean's%20Theme%20backing.mp3", "http://goran.tangring.com/tabs/Dean's%20Theme_The%20Shadows.TAB", "", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Dean's%20Theme.mp3"
29, "Deep Purple backing", "http://goran.tangring.com/backings/Deep%20Purple%20backing.mp3", "http://goran.tangring.com/tabs/Deep%20Purple.txt", "http://goran.tangring.com/chords/Deep%20Purple%20chords.xls", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Deep%20Purple.mp3"
30, "Diamonds backing (Jet Harris)", "http://goran.tangring.com/backings/Diamonds%20backing.mp3", "http://goran.tangring.com/tabs/Diamonds_Goran.doc", "http://goran.tangring.com/chords/DIAMONDS.doc", "http://goran.tangring.com/Renditions/Jet%20Harris%20(Goran)%20-%20Diamonds.mp3"
31, "Don't cry for me Argentina backing", "http://goran.tangring.com/backings/Don't%20cry%20for%20me%20Argentina%20backing.mp3", "", "http://goran.tangring.com/chords/Don't%20Cry%20for%20me%20Argentina%20%20chords.xls", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Don't%20cry%20for%20me%20Argentina.mp3"
32, "Don't cry for me Argentina backing (D)", "http://goran.tangring.com/backings/Don't%20cry%20for%20me%20Argentina%20backing%20in%20D.mp3", "http://goran.tangring.com/tabs/dontcryformeargentina.tab", "", ""
33, "Driftin' backing", "http://goran.tangring.com/backings/Driftin'%20backing.mp3", "http://goran.tangring.com/tabs/Driftin%20tab_opens%20with%20wordpad.txt", "", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Driftin'.mp3"
34, "Equinoxe part V backing", "http://goran.tangring.com/backings/Equinox%20Part%20V%20backing.mp3", "http://goran.tangring.com/tabs/Equinoxe%20V_TAB.txt", "http://goran.tangring.com/chords/Equinoxe%20V%20chords.xls", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Equinox%20Part%20V.mp3"
35, "Equinox Part V backing with timing aid", "http://goran.tangring.com/backings/Equinox%20Part%20V%20backing%20with%20timing%20aid.mp3", "", "http://goran.tangring.com/chords/EQUINOXE%20PART%20V.doc", ""
36, "Evening Glow backing 1967", "http://goran.tangring.com/backings/Evening%20Glow%20backing.mp3", "http://goran.tangring.com/tabs/Evening%20glow.txt", "", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Evening%20Glow.mp3"
37, "F B I Backing track", "http://goran.tangring.com/backings/F%20B%20I%20%20Backing%20track(Goran).mp3", "http://goran.tangring.com/tabs/fbi.tab", "http://goran.tangring.com/chords/FBI.txt", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20F.B.I..mp3"
38, "Fandango Backing track", "http://goran.tangring.com/backings/Fandango%20Backing%20track(Goran).mp3", "http://goran.tangring.com/tabs/Fandango_The_Shadows.doc", "http://goran.tangring.com/chords/Fandango.xls", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Fandango.mp3"
39, "Fender Bender backing", "http://goran.tangring.com/backings/Fender%20Bender%20backing.mp3", "http://goran.tangring.com/tabs/Fender%20Bender.tab", "http://goran.tangring.com/chords/Fender%20Bender%20chords.doc", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Fender%20Bender.mp3"
40, "Find me a Golden street backing", "http://goran.tangring.com/backings/Find%20me%20a%20Golden%20street%20backing.mp3", "http://goran.tangring.com/tabs/goldenstreet.tab", "http://goran.tangring.com/chords/Find%20Me%20a%20Golden%20Street.xls", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Find%20Me%20A%20Golden%20Street.mp3"
41, "Fly me to the moon backing", "http://goran.tangring.com/backings/Fly%20me%20to%20the%20moon%20backing.mp3", "", "", ""
42, "Foot Tapper Backing track", "http://goran.tangring.com/backings/Foot%20Tapper%20Backing%20track(Goran).mp3", "http://goran.tangring.com/tabs/foottapper.tab", "http://goran.tangring.com/chords/Foot-tapper.doc", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Foot%20Tapper.mp3"
43, "French Dressing backing", "http://goran.tangring.com/backings/French%20Dressing%20backing.mp3", "http://goran.tangring.com/tabs/French%20Dressing.tab", "http://goran.tangring.com/chords/FRENCH%20DRESSING.doc", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20French%20Dressing.mp3"
44, "Genie with the light brown lamp backing", "http://goran.tangring.com/backings/Genie%20with%20the%20light%20brown%20lamp%20backing.mp3", "http://goran.tangring.com/tabs/Genie%20with%20the%20Light%20Brown%20Lamp%20tab.txt", "http://goran.tangring.com/chords/Genie%20WTLBL.txt", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Genie%20with%20the%20light%20brown%20lamp.mp3"
45, "Geronimo backing", "http://goran.tangring.com/backings/Geronimo%20backing.mp3", "http://goran.tangring.com/tabs/geronimo.tab", "http://goran.tangring.com/chords/C_geronimo.txt", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Geronimo.mp3"
46, "Ghost Riders inThe sky backing", "http://goran.tangring.com/backings/Riders%20inThe%20sky%20backing.mp3", "http://goran.tangring.com/tabs/Riders%20in%20the%20sky%20tab.txt", "http://goran.tangring.com/chords/Riders%20In%20The%20Sky.doc", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Ghost%20Riders%20in%20the%20sky.mp3"
47, "Going Home backing (Theme from Local Hero)", "http://goran.tangring.com/backings/Going%20Home%20backing.mp3", "http://goran.tangring.com/tabs/Going%20Home_tab.txt", "http://goran.tangring.com/chords/Going%20Home%20chords.txt", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Going%20Home.mp3"
48, "Going Home backing with applauses", "http://goran.tangring.com/backings/Going%20Home%20backing%20with%20applauses.mp3", "", "", ""
49, "Gonzales backing", "http://goran.tangring.com/backings/Gonzales%20backing.mp3", "http://goran.tangring.com/tabs/GONZALES.txt", "http://goran.tangring.com/chords/Gonzales.xls", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Gonzales.mp3"
50, "Granada backing", "http://goran.tangring.com/backings/Granada%20backing.mp3", "http://goran.tangring.com/tabs/Granada%20Tab.TAB", "http://goran.tangring.com/chords/Granada%20chords.xls", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Granada.mp3"
51, "Guitar Tango Backing track", "http://goran.tangring.com/backings/Guitar%20Tango%20Backing%20track(Goran).mp3", "http://goran.tangring.com/tabs/guitartango.tab", "http://goran.tangring.com/chords/C_guitartango.txt", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Guitar%20Tango.mp3"
52, "Heartbeat backing", "http://goran.tangring.com/backings/Heartbeat%20backing.mp3", "http://goran.tangring.com/tabs/Heartbeat%20TAB.PDF", "", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Heartbeat.mp3"
53, "Holy Cow backing", "http://goran.tangring.com/backings/Holy%20Cow%20backing.mp3", "http://goran.tangring.com/tabs/Holy%20CowTAB.txt", "", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20Holy%20Cow.mp3"
54, "How Do I Love Thee Backing", "http://goran.tangring.com/backings/How%20Do%20I%20Love%20Thee%20Backing.mp3", "http://goran.tangring.com/tabs/How%20Do%20I%20Love%20Thee%20tab.txt", "", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20How%20Do%20I%20Love%20Thee.mp3"
55, "I Will Return backing", "http://goran.tangring.com/backings/I%20Will%20Return%20backing.mp3", "http://goran.tangring.com/tabs/I%20Will%20Return_tab..txt", "", "http://goran.tangring.com/Renditions/The%20Shadows%20(Goran)%20-%20I%20Will%20Return.mp3"
